CASSAVA (Gari variety) collected in FIELD 1 &2 of EDO STATE,Nigeria,Edo,Cassava,Gari,1.92,2.41,0.06,17.65,92.9,Dietry fibre is impotant for gut health and cassava has a high fibre diet in its class and especially when combined with vegetables
CASSAVA (Gari variety) collected in FIELD 1&2 of KWARA STATE,Nigeria,Kwara,Cassava,Gari,1.66,2.08,1.315,22.325,91.355,The low protein content in cassava is typical of tubers and should be supplemented with vegetables with high protein content
CASSAVA (Gari variety) collected in FIELD 1&2 of OYO STATE,Nigeria,Oyo,Cassava,Gari,1.335,2.19,0.105,22.89,94.045,"Tubers are generally low in fat content, energy produced is mainly form carbohydrates"
CASSAVA (Low cyanide variety) collected in FIELD 1& 2 of ASHANTI REGION,Ghana,Ashanti,Cassava,Gari,1.655,1.47,0.85,16.14,93.08, Iron content is relatively low in all cassva varieties but important as an input to daily recommended intake
CASSAVA (Low cyanide variety) collected in FIELD 1& 2 of BRONG-AHAFO REGION,Ghana,Brong-Ahafo,Cassava,Gari,1.525,1.86,0.74,23.05,92.725,"Cassava is a tuber, it is  high in complex carbohydrate which is important for production of energy, and especially because of the low glycemic index. "
CASSAVA (Flour variety) collected in FIELD 1 &2 of EDO STATE,Nigeria,Edo,Cassava,Flour,2.74,1.45,0.31,18.21,94.17,Cassava is a staple in a lot of West African diets and a composite for wheat flour Nigeria.  
CASSAVA (Flour variety) collected in FIELD 1 &2of KWARA STATE,Nigeria,Kwara,Cassava,Flour,1.695,1.075,0.33,30.015,95.15,
CASSAVA (Flour variety) collected in FIELD 1 &2 of OYO STATE,Nigeria,Oyo,Cassava,Flour,1.705,1.425,0.145,22.435,95.385,
CASSAVA (High cyanide variety) collected in FIELD 1 & 2 of ASHANTI REGION,Ghana,Ashanti,Cassava,Flour,1.62,1.515,0.615,20.79,93.275,
CASSAVA (High cyanide variety) collected in FIELD 1& 2 of BRONG-AHAFO REGION,Ghana,Brong-Ahafo,Cassava,Flour,1.87,1.7,0.84,22.195,93.04,
CORN (White variety) collected in FIELD 1&2 of EDO STATE,Nigeria,Edo,Corn,White,2.155,9.605,4.415,61.45,81.825,Corn is high in complex carbohydrate 
CORN (White variety) collected in FIELD 1&2 of KWARA STATE,Nigeria,Kwara,Corn,White,1.755,9.225,4.96,44.585,81.855,"Corn is a staple in most African meals, consumed at breakfast, lunch and dinner"
CORN (White variety) collected in FIELD 1 & 2 of OYO STATE,Nigeria,Oyo,Corn,White,2.06,9.12,4.82,41.4,81.895,Corn has a higher protein content than most tubers that are cateorized as main meals in African diets
CORN (White variety) collected in FIELD 1& 2 of ASHANTI REGION,Ghana,Ashanti,Corn,White,1.835,10.66,4.92,26.395,80.395,"Corn is also consumed in its fermented forms, which increases its B complex vitamin"
CORN (White variety) collected in FIELD 1 & 2 of BRONG-AHAFO REGION,Ghana,Brong-Ahafo,Corn,White,2.33,11.325,5.035,21.345,79.34,A balanced nutrition is obatined by combining  corn with vegetables and proteins
CORN (Yellow variety) collected in FIELD 1&2 of EDO STATE,Nigeria,Edo,Corn,Yellow,2.495,9.07,4.635,22.205,81.015,
CORN (Yellow variety) collected in FIELD 1&2 of KWARA STATE,Nigeria,Kwara,Corn,Yellow,1.47,8.805,4.745,33.04,82.895,
CORN (Yellow variety) collected in FIELD 1& 2 of OYO STATE,Nigeria,Oyo,Corn,Yellow,1.945,9.48,3.365,20.61,82.96,
